index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,latency,l_1,l_2
270,270,khvgyfewp9r,false,1,192.168.1.114,1623412844635,1623412844638,3,3,
271,271,z3rj1rv1lzq,false,1,192.168.1.114,1623412844646,1623412844649,3,3,
272,272,9FC5466E88C20000,true,3,192.168.1.112,1623412844661,1623412844672,11,,11
273,273,1sp859a8qjq,false,1,192.168.1.114,1623412844672,1623412844676,4,4,
274,274,0bl1es179u6,false,1,192.168.1.114,1623412844683,1623412844687,4,4,
275,276,1ek702v7wre,false,1,192.168.1.114,1623412844709,1623412844712,3,3,
276,275,B65467C7C7740001,true,3,192.168.1.112,1623412844698,1623412844714,16,,16
277,277,1jj3gmafy2vi,false,1,192.168.1.114,1623412844720,1623412844724,4,4,
278,278,xqw2q48dqzq,false,1,192.168.1.114,1623412844731,1623412844735,4,4,
279,279,5s1vyqx8vz,false,1,192.168.1.114,1623412844742,1623412844745,3,3,
280,280,ennrnxu8oxq,false,1,192.168.1.114,1623412844754,1623412844757,3,3,
281,281,b52xbqq07yi,false,1,192.168.1.114,1623412844766,1623412844769,3,3,
282,282,da470qmxnn4,false,1,192.168.1.114,1623412844778,1623412844782,4,4,
283,283,F1543A08B7940000,true,3,192.168.1.112,1623412844793,1623412844808,15,,15
284,285,apb8lgfmerm,false,1,192.168.1.114,1623412844819,1623412844822,3,3,
285,284,70B96BF0CD740001,true,3,192.168.1.112,1623412844807,1623412844824,17,,17
286,286,po1vxut158,false,1,192.168.1.114,1623412844830,1623412844833,3,3,
287,287,l73qn55u6k,false,1,192.168.1.114,1623412844841,1623412844844,3,3,
289,289,7jw4tqreafv,false,1,192.168.1.114,1623412844863,1623412844866,3,3,
288,288,ow6t7etkhrc,false,1,192.168.1.114,1623412844852,1623412844855,3,3,
290,291,xgywootek2j,false,1,192.168.1.114,1623412844890,1623412844893,3,3,
291,290,4224530AC7500000,true,3,192.168.1.112,1623412844879,1623412844895,16,,16
292,292,o25eml4na9c,false,1,192.168.1.114,1623412844902,1623412844905,3,3,
293,293,s0wpjw0nhnj,false,1,192.168.1.114,1623412844914,1623412844917,3,3,
294,294,f3yz1ce7bw,false,1,192.168.1.114,1623412844926,1623412844929,3,3,
295,295,c6t9knsdgn,false,1,192.168.1.114,1623412844938,1623412844941,3,3,
296,296,rz4q3wdu66p,false,1,192.168.1.114,1623412844950,1623412844953,3,3,
297,297,fc2k9wm60fl,false,1,192.168.1.114,1623412844962,1623412844965,3,3,
298,298,268sqjqiklp,false,1,192.168.1.114,1623412844974,1623412844977,3,3,
299,299,uik0il4zjyd,false,1,192.168.1.114,1623412844986,1623412844989,3,3,
300,300,C8F45EC613600001,true,3,192.168.1.112,1623412845002,1623412845016,14,,14
301,301,4374A74B83EF0000,true,3,192.168.1.112,1623412845016,1623412845032,16,,16
302,303,ufxks75exz,false,1,192.168.1.114,1623412845043,1623412845046,3,3,
303,302,0095771593070001,true,3,192.168.1.112,1623412845031,1623412845049,18,,18
304,304,9g3300lilz,false,1,192.168.1.114,1623412845055,1623412845059,4,4,
305,305,aitp20kxacl,false,1,192.168.1.114,1623412845066,1623412845070,4,4,
306,306,28b2s449v22,false,1,192.168.1.114,1623412845077,1623412845081,4,4,
307,307,q0wv6tl5hf,false,1,192.168.1.114,1623412845088,1623412845092,4,4,
308,308,2cbnf70j2sv,false,1,192.168.1.114,1623412845099,1623412845103,4,4,
309,309,moxsevtxzcc,false,1,192.168.1.114,1623412845110,1623412845114,4,4,
